Rating,Name,URL
184,adfgkjhadsfjk#洗心革面,/ru/summoner/kr/adfgkjhadsfjk-%E6%B4%97%E5%BF%83%E9%9D%A9%E9%9D%A2
185,MMMIIIDDD#XXXX,/ru/summoner/euw/MMMIIIDDD-XXXX
186,NooR#L69,/ru/summoner/me/NooR-L69
187,Lil Ðệặth ヅ#ぷЖλ,/ru/summoner/las/Lil+%C3%90%E1%BB%87%E1%BA%B7th+%E3%83%85-%E3%81%B7%D0%96%CE%BB
188,ikun ikun#KR1,/ru/summoner/kr/ikun+ikun-KR1
189,Kenvi#NA1,/ru/summoner/na/Kenvi-NA1
190,Kross#NA12,/ru/summoner/na/Kross-NA12
191,Paker#mid,/ru/summoner/kr/Paker-mid
192,TakeSet sama#EUW,/ru/summoner/euw/TakeSet+sama-EUW
193,DNTL#2210,/ru/summoner/vn/DNTL-2210
194,Dumnezeu la Joc#Kope,/ru/summoner/eune/Dumnezeu+la+Joc-Kope
195,ZAAA XD#000,/ru/summoner/euw/ZAAA+XD-000
196,Kawaii Angell#EUNE,/ru/summoner/eune/Kawaii+Angell-EUNE
197,Jon Snow#7596,/ru/summoner/euw/Jon+Snow-7596
198,kaisa#260,/ru/summoner/jp/kaisa-260
199,tft#wywq,/ru/summoner/kr/tft-wywq
200,inferno#0102,/ru/summoner/vn/inferno-0102
201,inferno#0102,/ru/summoner/vn/inferno-0102
202,Sevaski#aaa,/ru/summoner/sg/Sevaski-aaa
203,말할 수 없다#luck,/ru/summoner/kr/%EB%A7%90%ED%95%A0+%EC%88%98+%EC%97%86%EB%8B%A4-luck
204,Aegon Targaryen#JonS,/ru/summoner/tr/Aegon+Targaryen-JonS
205,Magic#9282,/ru/summoner/me/Magic-9282
206,DWG Nuguri#2006,/ru/summoner/vn/DWG+Nuguri-2006
207,쿠키팀 정글#구글 검색,/ru/summoner/kr/%EC%BF%A0%ED%82%A4%ED%8C%80+%EC%A0%95%EA%B8%80-%EA%B5%AC%EA%B8%80+%EA%B2%80%EC%83%89
